"","text","created_at","author.location"
"1","Lorsque le pharmacien accède à vos prescriptions au moyen de votre e-ID, il crée une « relation thérapeutique ». Grâce à cette relation, vous pourrez récupérer vos médicaments durant les 15 mois avec votre numéro de registre national. \n\nDécouvrez-le ici : https://t.co/S1tKZHqUAd https://t.co/IaChCbN7PO",2021-10-29 12:01:13,"Brüssel, Belgien"
"2","@T_Nenninger Chercher les cashflows, pour comprendre le deal, tout est business, Thalès pousse à l'e-id, le passe vaccinal de l'avenir",2021-10-29 05:19:25,"Ile-de-France, Frankreich"
"3","@MullerBronnL @andrebercoff Faut bien que Thalès ait le marché de l'e-id. Cherchez les cashflows vous comprendrez. Les libertés publiques et individuelles, un truc pour les candides",2021-10-28 17:01:57,"Ile-de-France, Frankreich"
"4","Vous rendre en pharmacie sans appareil ou preuve papier ? Emportez votre e-ID, le pharmacien pourra utiliser votre e-ID pour accéder à toutes les prescriptions ouvertes. Vous pourrez indiquer le médicament que vous venez retirer. Plus d’informations ici : https://t.co/S1tKZHqUAd https://t.co/IOdnpQasu9",2021-10-28 09:22:46,"Bruxelles"
"5","Large discussion publique sur l’e-ID étatique https://t.co/wqEuf6XVAw",2021-10-26 09:10:42,"Suisse"
"6","si c'est aussi merdique que l'e-id, gardez le .|. https://t.co/B3NveS9IR4",2021-10-18 05:41:01,"home"
"7","Bravo et merci @anderageru d’avoir rappelé en français les points clés des exigences fondamentales d’une #eID <U+0001F1E8><U+0001F1ED> en introduction à la conférence e-ID organisée par @EJPD_DFJP_DFGP (triste de ne pas avoir prévu une traduction simultanée dans les 3 langues nationales <U+0001F44E>) https://t.co/V7x9ghRS7Z",2021-10-14 11:13:19,"Suisse"
"8","Il y a un projet de e-ID initié par @GouvTg et @NumeriqueTG  assez interessant qui peut aider à tout point vue en attendant un EN systématique et délivrance des CIN à tous. \n\nPar contre  le projet en ou actuellement? Je sais pas https://t.co/9KzmHiqso2",2021-10-13 18:17:34,"Lomé , Togo "
"9","#RT @dgt_switzerland: L'E-ID est incontournable – allons de l'avant !\n\nCommuniqué de presse: https://t.co/lH7VhubMJU https://t.co/lW3kpNrbxg",2021-10-13 11:59:55,"Zürich, Schweiz"
"10","L'E-ID est incontournable – allons de l'avant !\n\nCommuniqué de presse: https://t.co/42WBPZMJcG https://t.co/BbVoAbbTo9",2021-10-13 11:01:00,"Switzerland"
"11","Bientôt ton smartphone sera connecté à ton e-id et ta voix sera reconnue car associée à la reconnaissance faciale. https://t.co/qDcBI4mzpf",2021-10-12 09:51:20,NA
"12","@Christo36292542 @hm01869 @GVilleval De toute façon, on en paie tous le prix\nNWO met en place le plan de surveillance généralisé sous couvert de pandemie. C'est plus rapide pour eux. En 2025 max tout le monde sera fliqué et on aura un Pass et notre e-id pour aller aux WC",2021-10-11 11:26:32,"Suisse"
"13","Du paSS sanitaire à l'identité numérique <U+0001F4F1><U+0001F51C><U+0001F916>\nLa vidéo complète :\n• https://t.co/nnog5KE4mN\n• https://t.co/XnYOzAjOPW\nDans cet extrait de l'Info en QuestionS #68 nous parlons de l'identité numérique promise par nos gouvernements (loi <U+0001F1E8><U+0001F1ED> e-ID), avec THALES, ATOS, Alicem. https://t.co/kks3xMwAza",2021-10-08 19:30:25,NA
"14","@Samyerly @JeanneretMichel @KevinGrangier @Blick_fr A mon avis non. On pourrait tout à fait avoir des privés qui pourraient proposer un tel outil (payant?) sans avoir les assurances de prot. des données (cf débat sur l’e-id) ni de validité du contenu. La LEp resterait et son ordonnance d’application",2021-10-08 15:20:40,"Rolle, Suisse"
"15","Du paSS sanitaire à l'identité numérique - THALES, ATOS, Alicem, Loi e-ID https://t.co/SryVkYfT34 \n\nDes gens ont des projets pour nous, pour notre bien évidemment <U+0001F644>\nMerci @FrammeryChloe <U+0001F4AA><U+0001F64F><U+2764><U+FE0F>",2021-10-08 08:27:32,NA
"16","Du paSS sanitaire à l'identité numérique - THALES, ATOS, Alicem, Loi e-ID https://t.co/59MzHtCwVz",2021-10-08 05:38:25,"Les Îles-de-la-Madeleine"
"17","La Suisse adopte une nouvelle approche pour l'introduction de l’identité électronique E-ID. Lors d'une réunion du groupe Parldigi, des représentants de la Confédération ont expliqué les concepts possibles. <U+2935><U+FE0F>\n\nhttps://t.co/ZSOo7jdPog",2021-10-07 11:00:34,"Geneve, Lausanne"
"18","<U+0001F1E8><U+0001F1ED>Du paSS sanitaire à l'identité numérique - THALES, ATOS, Alicem, Loi e-ID\nDans cet extrait de l'Info , chronique sur l'identité numérique, nous parlerons de la société THALES, en partenariat avec ATOS, nous parlerons aussi de l'identité num\n\nhttps://t.co/7JU5G1FO7Y",2021-10-06 18:31:54,NA
"19","Du paSS sanitaire à l'identité numérique - THALES, ATOS, Alicem, Loi e-ID https://t.co/wRFmDEAEp2 #LBRY via @OdyseeTeam",2021-10-05 18:18:30,"Bretagne"
"20","@AlexanderPrym Ça m’a pris 3h entre Itsme sur Mac avec lecteur e-ID et puis iPhone. Si on n’a pas itsme via l’appli bancaire c’est galère. Les personnes moins tech et les personnes âgées, j’ose même pas y penser.",2021-10-05 17:30:02,"Brussels"
"21","Du paSS sanitaire à l'identité numérique - THALES, ATOS, Alicem, Loi e-ID https://t.co/wRFmDESfNC #LBRY via @OdyseeTeam",2021-10-05 10:16:35,"Bretagne"
"22","Du paSS sanitaire à l'identité numérique - THALES, ATOS, Alicem, Loi e-ID https://t.co/oRB9Spno33 #LBRY via @OdyseeTeam",2021-10-04 16:15:13,NA
"23","""La Poste Suisse a repris la totalité des parts dans SwissSign""\n""La nouvelle filiale indépendante de la Poste se positionne également comme fournisseur d'une future e-ID suisse certifiée par l’Etat""\n<U+27A1><U+FE0F> https://t.co/ymtzk0V42C\n<U+0001F447>\nhttps://t.co/pzINtIGXb3",2021-10-04 13:07:30,"Switzerland"
"24","News: Les projets de la Confédération pour relancer l'E-ID https://t.co/neQOsJNpy4",2021-09-30 13:07:33,NA
"25","Les projets de la Confédération pour relancer l'E-ID https://t.co/KGZTDhjB1D https://t.co/C6fMQvLf80",2021-09-30 10:45:04,"Lausanne"
"26","@MonkeyGab_ Fallait voter oui à l’e-ID il y’a 6 mois",2021-09-22 13:52:45,"Genève, Suisse"
"27","Juste pour le fun ! <U+0001F60E>\nEt pour le E-ID bah pffoff ! https://t.co/MNT8PQ7NxM https://t.co/vGREZGi8TH",2021-09-16 16:22:26,"gettr.com/user/uneheidi"
"28","CH e-ID Le National veut que l’État gère une identité électronique fiable https://t.co/bK7NFJKUcP 14/09/21 élémentaire avec atermoiements déplacés  https://t.co/fEGmPIZJ9F",2021-09-14 16:31:03,"Genève, Suisse"
"29","#Suisse: Après le rejet par le peuple de l’e-ID en mars dernier, le dossier est revenu en force à la Chambre du peuple via six motions déposées par les principaux partis. https://t.co/WkwCyLemLE",2021-09-14 15:18:32,"<U+0001F9C0>SUISSE <U+0001F310> ARGENTINA<U+0001F9C9>"
"30","Identité électronique: le National veut une e-ID gérée par l'Etat https://t.co/wMeO7J8cXF",2021-09-14 11:42:13,"Zurich, Switzerland"
"31","Sur l’internet, l’E-ID constitue la base des innovations numériques et garantit la sécurité juridique. La Suisse doit continuer à se positionner comme un pays moderne, innovant et compétitif !",2021-09-14 08:53:05,"Suisse Schweiz Svizzera Svizra"
"32","@PasRodique @despotica @stv_fx Tous pareils.\nMais ils n'ont aucun besoin d'être à la retraite\nLa votation du 7 mars sur E-Id refusée en block et remise sur le tapis à peine 2 mois plus tard\nAlors lui, qui peut encore croire à ce qu'il dit sans avoir les oreilles complètement bouchées !! https://t.co/693xyasJws",2021-09-14 05:52:22,NA
"33","Je l'avais raté celle-là. On nous avait pourtant dit que rien ne bougerait plus pendant des décennies si on refusait l'e-ID mal fagotée des autorités. Ouf, on nous a encore menti. https://t.co/MGKpICAxm0",2021-09-06 14:04:25,"Genève, Suisse"
"34","Le Conseil fédéral lance une consultation publique sur la future e-ID\nhttps://t.co/okrKQvh5DW via @letemps<U+0001F4CC><U+0001F4CC><U+0001F4CC><U+0001F4CC>",2021-09-03 10:08:25,"Belgium"
"35","ENFIN ! “Le Conseil fédéral lance une consultation publique sur la future e-ID”\nhttps://t.co/dwmzZVocpf via @letemps",2021-09-03 08:21:19,".fr, .be, .ch, .org, Lausanne"
"36","Le Conseil fédéral lance une consultation publique sur la future e-ID (identité numérique)\nhttps://t.co/wPMvmcoFm1 via @letemps",2021-09-03 06:53:33,"Reims, Frankreich"
"37","La meilleure méthode reconnue au niveau international c'est :\nAcheter 1.- le code source de Scytl \nAmadouer des hackers avec 250k balles pour trouver des failles\nFicher les Hackers\nInstaller Christian\nInstaller le E-vote\nInstaller le E-Id... \nY a plus qu'à distribuer les cartes<U+0001F60E> https://t.co/Z3V85nUc1e",2021-09-03 05:07:57,"Schweiz"
"38","Seriously ! \nQuand les votes ne vont pas dans le sens du Conseil Fédéral <U+0001F1E8><U+0001F1ED> il relance le E-ID ! \nOn a voté NON en masse le 7 mars 2021 ! \nhttps://t.co/90WmudANXG",2021-09-02 16:36:51,NA
"39","Discussion publique sur la future e-ID https://t.co/PoblwtUWyq",2021-09-02 16:15:06,NA
"40","Le Conseil fédéral lance une consultation publique sur la future e-ID https://t.co/QYQARqIDL9",2021-09-02 16:04:05,"Switzerland"
"41","@JacquesClouse17 Merci. Ça me fait penser que je devrais d'ailleurs réunir tous mes tweets à ce sujet et finir ce Thread sur ces enjeux en incluant la remise sur le tapis de E-Id pour 2022\n( recherche \n@nattqui Scytl  ) \nDu CF à Nordman \nToute la gauche avec le soutien d Ignace !",2021-08-28 09:03:08,"Suisse"
"42","@alainmaron @catherinefonck Du coup, les résidents sont ou pas comptabilisés dans la donnée ""population à vacciner"" ou les seuls belges avec e-id et numéro de registre national belge ?",2021-08-27 12:20:56,"Bruxelles, Belgique"
"43","Je vous invite à lire mon dernier rapport sur la protection des données au Togo. Ce rapport passe en revue les récentes lois sur les communications électroniques, la protection de données et le e-ID. 1/6\n@AfricaNetRights @ParadigmHQ @APC_News @koliwemajama\nhttps://t.co/dx0gCwmVLt https://t.co/55mxopBFKe",2021-08-26 14:00:38,"République Togolaise"
"44","@DrvonP Et en 2022 le code source de SCYTL et le E-Id dans les urnes. Tu la vois venir ?",2021-08-26 12:51:32,"Schweiz"
"45","Vaud lance sa propre e-ID pour le dossier électronique du patient - https://t.co/nH1MRTDdiu",2021-08-19 08:32:47,NA
"46","Vaud lance sa propre e-ID pour le dossier électronique du patient - https://t.co/dU5W5p23QR",2021-08-19 08:32:47,"CHUV, Lausanne"
"47","Vaud lance sa propre e-ID pour le dossier électronique du patient - https://t.co/7IPRc6Shm5",2021-08-19 08:32:46,NA
"48","Vaud lance sa propre e-ID pour le dossier électronique du patient - https://t.co/R0QTQteHGo",2021-08-19 08:32:46,NA
"49","Vaud lance sa propre e-ID pour le dossier électronique du patient #Suisse #Vaud #DEP #Santé #eID https://t.co/AnBCHGz21C",2021-08-18 06:08:32,"Lausanne (Suisse)"
"50","Vaud lance sa propre e-ID pour le dossier électronique du patient https://t.co/UF3RFnAaWT https://t.co/eHH5IJ6oMV",2021-08-18 05:51:20,"Schweiz"
"51","News: Vaud lance sa propre e-ID pour le dossier électronique du patient https://t.co/adUaxijfXU",2021-08-17 17:32:04,NA
"52","Vaud lance sa propre e-ID pour le dossier électronique du patient\nhttps://t.co/seNX6lCKWr",2021-08-17 16:48:14,"Versoix, Suisse"
"53","@EtatdeVaud Vous êtes adorables mais je ne parle pas de E-Id mais VaudID-Santé\n(Regardez la flèche) merci https://t.co/by9rDWQx8I",2021-08-17 11:29:37,"Suisse"
"54","Si @nuriagorrite VD et @sebastienfanti VS qui se sont battus bec et ongles contre E-Id pensent que ELCA est la bonne solution, Soit.\nLe Cloud reste toutefois chez une entreprise privée partenaire de SIPCA dans le Pass-Sanitaire International\nÉclairage?\nhttps://t.co/Kt4ryCHXXA",2021-08-17 09:39:57,"Suisse"
"55","7.3.21 - les<U+0001F1E8><U+0001F1ED>ont compris à quel point leurs données médicales devaient être protégées et ont donné une claque à E-Id\nVaud devait faire attention avec les entreprises privées \nOr, il a choisi ELCA\nELCA partenaire de SICPA dans la mise en place du Pass-sanitaire International<U+0001F447> https://t.co/HE8nmVKmpD https://t.co/AhrjwCIVW5",2021-08-17 09:10:11,"Suisse"
"56","@anoziss @StephaneDeTroie Oui, on théorie le dispositif est là mais il a été pas mal affaibli au fil du temps à coups de ciseaux dans la constitution (art. 36 par exemple!). Quant aux votations populaires, le CF s’assoit dessus ou revient sans vergogne (exemples: limitations de l’immigration, E-ID,…).",2021-08-16 19:32:16,"Suisse"
"57","@LeturcqR @ClaclaCoco Je ne peux que recommander de te prendre une Bancontact une fois que tu pourras t'ouvrir un compte belge avec ta e-ID, ça change une vie <U+0001F605>",2021-08-05 12:47:17,"Brussels"
"58","@OnTheRodPhileas <U+0001F1E7><U+0001F1EA> depuis longtemps ID/titre séjour format e-ID : plastique robuste, avec une puce pour remplir et signer des formulaires (banque, médecin), s'identifier par internet (mairie, impôts), signer légalement des PDF.\n<U+0001F1EB><U+0001F1F7> : plastique souple, aucune de ces fonctionnalités.\nJe suis dépité",2021-08-05 10:09:21,"Etterbeek, Belgique"
"59","@ARIADNEXT Bienvenue dans l'ère numérique, comme ici en Belgique depuis des années. Ici même les étrangers (comme moi) ont droit à leur e-ID card. Au top pour : déclarer ses impôts, accéder à ses documents sur le portail de la commune, s'identifier sur une app via @itsmeDigitalID etc. https://t.co/gH9cnJ8u0o",2021-08-03 10:02:06,"LOUVAIN-LA-NEUVE (BE)"
"60","La Fédération Suisse des Fonctionnaires de Police s'oppose à la loi sur l'identité électronique (e-ID). C'est vous dire à quel point cette loi est dangereuse pour les citoyens!\nLe passeport numérique ne doit pas être privatisé. Non à la loi sur l’identité électronique! #CHvote https://t.co/6Vhz0dnrsb",2021-07-29 17:04:43,NA
"61","@pschaus @LeTEC_Wallonie Ils savent pas lier celà avec it'sme, puis c'est fini ?\nLa @SNCB est vraiment easy avec ses e-tickets sur la e-id ... peut-être être qu'un partage de technologie serait utile ?",2021-07-26 12:55:49,"Bruxelles, Belgique"
"62","@entrefilets Il parait\nOui d'ailleurs en Suisse on est les champions de la démocratie\nDernière en date E-id refusé le 7 mars remis sur le tapis en mai.",2021-07-22 21:48:43,"Suisse"
"63","@pierrech Tiens ça me rappelle quelque chose .... hmmmmmm... au pays de Heidi...\nah oui,  E-Id !",2021-07-22 16:11:54,"Suisse"
"64","4\nTout comme E-Id voté NON le 7 mars 2021\nSur le tapis le 26 mai 2021\nhttps://t.co/uUUaWEp9SN",2021-07-17 19:23:46,"Suisse"
"65","Ceux qui se plaignent que la #défense ne fait pas assez pour aider la population sinistrée en Wallonie....utilisez votre E-id et Itsme, signez la pétition en suivant le lien ci-joint. https://t.co/0ia2oTD565",2021-07-15 16:09:49,NA
"66","@ploum @DavidGlaude Je confirme. Je remplis mes formulaires d’impot sous Linux depuis des années via Firefox et l’e-id est très efficace (sauf quand tu dois le mettre à jour <U+0001F612>)",2021-07-15 11:10:56,NA
"67","@SIndependante @GillesMaumary Exact sauf que l'ancien modèle est le même que celui d'aujourd'hui mais on s'en rend compte maintenant\nOn prépare gentiment les votations par internet avec le petit E-Id qui va bien.\n2022 ce sera donc pire",2021-07-15 07:55:23,"Suisse"
"68","@Caro_Bxl @SPFFinances Perso, je n'ai jamais réussi à me connecter sur tous ces sites qui demandent une identification à partir de la carte d'identité... Sur mon MacBook, je n'arrive pas à utiliser un lecteur e-ID <U+0001F62D>",2021-07-10 09:37:42,"Bruxelles"
"69","@THGFinance @BougardKoen Apparemment oui et sa carte se connecte à tous les autres sites qui nécessitent une connexion e-id, c’est juste celui-là qui bloque.",2021-06-30 13:09:32,"Somewhere only we know"
"70","« Nom de tcheu de bordel à cul de lecteur de carte Belgian e-ID »j'entends de plus en plus souvent cette expression dans la bouche de jeunes personnes. Je sais que leur intention est bonne. Mais je leur dis : cette expression n'est pas polie. https://t.co/7rcmQVsOhZ",2021-06-29 03:56:09,"Brussels - Belgium"
"71","@Irenge_ Hahaha bruv les cartes e-id &gt; les cartes id en papier plastique <U+0001F602>",2021-06-28 22:13:57,NA
"72","@glemasne @lux_hur Bon en bas de la page ils disent qu'ils sont en train de faire en sorte que ce siot possible sans e-ID, n'empêche que ça me fait peur quand même.",2021-06-24 08:27:06,"Danderyd, Sverige"
"73","<U+0001F3A7> #LeDésordreMondial | Avec l’e-ID européen, les documents d’identité, papiers officiels et moyens de paiement seront stockés dans un «portefeuille» électronique. «Il y a ce fantasme dans la caste au pouvoir de surveiller tout le monde», selon @Verhaeghe\nhttps://t.co/4OU6hmlIgl https://t.co/FuN6va6wL9",2021-06-23 11:04:04,NA
"74","La Commission européenne propose de développer l’e-ID européen: identité, papiers officiels importants et moyens de paiement, toute votre vie dans un seul portefeuille électronique. La caste pourrait anéantir votre vie privée et contrôler tout le monde.  https://t.co/lgTL8NoRbw",2021-06-23 10:05:25,NA
"75","Et comme lui, je constate en toute objectivité, que la pianiste bernoise a été totalement épargnée par les médias, ceci contrairement à KKS qui avait morflé après l'échec de l'e-ID, un projet pourtant pondu en son temps par la camarade Sommaruga et ses services...",2021-06-21 10:39:43,NA
"76","Paragon ID, spécialiste des solutions d’identification dédiées aux marchés de l’e-ID, du transport, de la protection des marques ou du paiement a annoncé l’acquisition de Security Label, leader européen des étiquettes bagages pour les compagnies aériennes. https://t.co/AzpSI0Y7NM",2021-06-21 09:27:17,"Paris"
"77","Avec l’e-ID européen les documents d’identité, papiers officiels importants et moyens de paiement des citoyens européens seront stockés dans un seul « portefeuille » électronique. « \nhttps://t.co/1u7qO5ZIOt",2021-06-21 09:23:21,NA
